PM2.5,AQI
52,79
29,61
65,93
79,106
78,105
36,82
23,48
26,51
40,61
45,67
53,78
38,65
30,62
59,89
56,84
57,85
74,103
91,141
91,141
91,141
80,141
54,99
56,90
75,141
62,141
44,108
42,100
26,70
29,61
29,61
48,73
45,70
42,89
66,99
74,101
61,85
56,80
68,94
77,105
82,109
72,99
50,79
31,65
27,65
48,75
69,94
65,89
82,111
91,126
52,73
52,74
68,93
59,84
31,62
39,68
55,79
40,70
77,105
58,93
61,88
35,62
21,49
37,62
46,70
26,56
34,63
27,52
52,74
58,81
54,76
44,67
42,67
38,66
23,50
30,57
29,54
25,59
30,68
53,86
29,77
25,62
38,69
40,67
24,50
23,63
31,88
24,63
30,68
38,73
37,77
45,99
35,120
31,80
31,66
31,58
37,61
55,82
39,65
34,59
45,66
42,65
38,57
38,62
43,70
37,57
38,56
34,53
39,60
43,66
37,64
37,63
40,65
31,52
27,52
34,61
27,63
22,58
29,67
24,56
34,64
33,67
34,69
32,61
38,70
31,69
33,93
30,84
28,71
33,73
33,76
36,80
39,86
46,113
55,141
29,84
31,81
32,73
36,87
24,63
32,73
28,68
31,76
42,108
38,97
28,68
18,43
16,48
19,56
21,54
22,48
24,56
25,59
31,73
30,91
23,61
37,87
35,73
30,74
27,74
27,77
36,101
31,74
37,87
37,68
29,58
23,52
17,42
25,58
23,57
18,47
22,57
18,46
14,41
13,43
15,40
16,40
19,47
19,48
91,141
91,141
28,69
49,121
32,79
25,63
36,88
36,86
25,69
23,66
21,66
23,61
20,61
37,87
28,75
17,47
22,52
20,55
16,56
25,61
26,62
19,57
16,55
21,51
18,45
18,51
21,56
20,54
17,52
19,52
19,44
34,55
21,45
22,58
21,49
15,36
13,38
16,45
13,38
10,39
13,47
22,61
17,51
22,64
18,53
20,54
16,57
25,74
22,71
17,55
18,58
20,73
20,50
17,37
17,49
19,55
20,50
12,33
14,54
13,37
17,58
21,62
18,49
17,52
16,55
16,58
21,66
17,48
15,49
17,57
18,66
16,38
19,39
15,34
15,36
15,48
13,34
18,54
20,43
22,52
17,42
15,33
22,48
21,49
19,48
24,58
29,62
12,30
19,45
21,52
12,28
16,32
19,42
19,44
25,57
16,33
16,34
23,45
29,56
31,67
29,63
27,59
30,59
31,63
33,68
33,68
31,65
27,63
28,59
30,55
20,42
21,54
22,43
25,46
17,29
26,47
27,49
25,51
29,60
36,69
31,61
33,63
30,55
24,42
26,42
40,69
44,77
33,66
35,81
40,76
40,63
40,64
25,49
36,61
34,63
44,74
56,92
56,90
52,96
49,87
49,87
44,73
51,85
53,87
47,76
50,74
48,67
50,76
39,64
32,58
46,77
50,81
31,61
31,62
55,102
60,97
53,96
55,131
58,99
79,117
52,83
66,96
46,72
33,70
30,54
47,73
40,63
38,71
47,70
36,65
28,53
40,58
57,79
80,107
84,112
91,128
91,128
77,107
91,132
91,132
88,117
80,109
82,111
86,116
91,120
75,101
35,60
26,45
37,61
36,58
69,95
80,108
65,91
77,105
57,91
30,63
37,72
66,96
69,96
42,69
44,73
68,97
73,99
64,87
91,127
91,126
44,67
34,53
53,73
81,107
59,81
50,69
61,83
48,67
40,59
55,75
55,75
78,104
91,120
47,70
42,65
58,80
75,101
67,89
43,62
36,55
76,102
58,79
67,91
71,96
66,90
56,77
52,72
40,57
32,48
40,59
42,61
47,66
49,69
44,62
40,59
52,73
58,80
45,66
35,57
40,115
34,102
20,53
32,58
40,64
37,64
43,76
54,141
40,102
48,88
57,89
46,76
41,80
41,78
36,68
29,47
27,67
19,58
25,59
23,54
36,66
34,62
30,58
39,71
28,69
36,80
41,79
42,75
40,95
48,111
45,90
38,73
37,58
44,73
44,78
46,103
44,92
35,71
41,82
35,76
39,78
62,141
42,87
28,56
30,59
38,79
40,84
39,90
34,57
31,50
33,51
32,51
35,64
36,62
32,56
32,68
32,76
60,141
31,73
30,70
40,88
47,105
53,126
27,71
30,85
39,81
44,98
42,101
28,61
29,61
26,65
25,59
28,68
35,76
37,79
37,82
36,80
34,86
36,87
38,88
54,141
46,100
35,82
26,46
30,51
27,62
22,51
38,84
34,71
28,68
25,62
33,77
33,69
21,51
30,82
34,81
32,76
31,70
28,64
32,77
25,43
22,40
22,48
17,29
19,41
20,54
27,67
30,54
29,68
23,54
24,61
26,66
25,58
24,67
31,71
37,76
22,43
27,65
32,72
24,46
24,54
29,56
25,54
26,53
22,42
20,41
25,66
20,56
23,57
24,49
19,36
22,56
26,68
33,69
18,43
19,53
35,79
21,59
23,59
17,38
24,62
30,62
29,67
30,79
25,61
18,55
18,47
19,44
18,42
13,29
15,45
19,52
14,32
10,39
15,40
18,48
14,31
18,48
17,55
16,42
16,41
16,38
23,48
14,40
27,70
24,73
18,50
18,50
19,49
