日期,PM2.5,PM10,NO2,SO2,CO,O3
2015-05-26,33,98.0,47.0,13,1.11,51
2015-05-27,88,214.5,53.0,11,0.88,34
2015-05-28,22,48.0,27.0,6,0.74,43
2015-05-29,27,72.0,42.0,7,0.78,46
2015-05-30,30,77.0,53.0,13,0.71,50
2015-05-31,34,116.0,57.0,17,0.76,40
2015-06-01,79,214.5,41.0,5,0.55,48
2015-06-02,47,177.0,45.0,11,0.66,42
2015-06-03,26,89.0,37.0,7,0.53,47
2015-06-04,17,52.0,29.0,7,0.46,80
2015-06-05,39,127.0,57.0,22,0.79,73
2015-06-06,32,107.0,41.0,15,0.67,65
2015-06-07,35,109.0,36.0,13,0.52,60
2015-06-08,37,111.0,54.0,17,0.97,62
2015-06-09,55,162.0,61.0,36,1.0,59
2015-06-10,66,203.0,26.0,6,0.49,73
2015-06-11,41,144.0,44.0,16,0.76,70
2015-06-12,27,89.0,48.0,15,0.81,60
2015-06-13,30,93.0,49.0,21,1.06,58
2015-06-14,25,87.0,36.0,7,0.71,76
2015-06-15,28,85.0,36.0,7,0.7,74
2015-06-16,31,93.0,45.0,9,0.69,62
2015-06-17,38,110.0,57.0,14,0.87,50
2015-06-18,33,99.0,51.0,8,0.8,70
2015-06-19,32,75.0,22.0,10,0.59,94
2015-06-20,38,66.0,30.0,4,0.64,73
2015-06-21,45,95.0,51.0,13,0.95,68
2015-06-22,37,88.0,52.0,9,0.92,37
2015-06-23,36,63.0,37.0,6,0.8,68
2015-06-24,37,76.0,44.0,7,0.95,45
2015-06-25,48,87.0,47.0,7,1.0,64
2015-06-26,29,81.0,41.0,9,0.83,54
2015-06-27,17,51.0,22.0,5,0.72,44
2015-06-28,37,98.0,32.0,6,0.86,34
2015-06-29,76,214.5,60.0,8,0.99,33
2015-06-30,53,144.0,42.0,5,0.77,47
2015-07-01,44,104.0,45.0,8,0.76,36
2015-07-02,45,71.0,37.0,5,0.92,27
2015-07-03,63,88.0,48.0,8,1.02,31
2015-07-04,88,122.0,61.0,10,1.34,21
2015-07-05,47,67.0,43.0,8,0.85,38
2015-07-06,48,109.0,61.0,18,1.19,43
2015-07-07,38,103.0,46.0,11,0.88,40
2015-07-08,39,69.0,30.0,7,0.67,36
2015-07-09,33,45.0,32.0,7,0.73,56
2015-07-10,38,93.0,47.0,13,1.08,39
2015-07-11,36,80.0,29.0,5,0.98,44
2015-07-12,53,105.0,29.0,5,0.87,44
2015-07-13,41,99.0,37.0,11,1.0,59
