PM2.5,PM10
47,119.0
49,162.0
34,71.0
45,111.0
91,214.5
91,214.5
32,85.0
44,134.0
57,214.5
42,154.0
35,120.0
35,120.0
40,144.0
30,67.0
28,61.0
36,87.0
39,111.0
41,110.0
37,88.0
41,119.0
52,106.0
69,214.5
91,214.5
91,214.5
88,214.5
47,109.0
42,102.0
47,157.0
61,187.0
30,81.0
37,120.0
47,159.0
27,57.0
27,63.0
35,86.0
39,101.0
30,65.0
38,108.0
39,89.0
39,89.0
53,164.0
68,162.0
36,86.0
37,85.0
35,86.0
37,95.0
35,102.0
33,92.0
58,161.0
62,207.0
62,177.0
43,102.0
47,123.0
46,72.0
37,50.0
29,51.0
30,53.0
32,70.0
30,61.0
26,45.0
41,100.0
36,106.0
34,93.0
29,67.0
29,63.0
34,69.0
37,81.0
39,94.0
38,84.0
41,115.0
32,74.0
26,56.0
32,91.0
35,125.0
30,93.0
32,101.0
28,90.0
31,83.0
36,84.0
33,80.0
26,72.0
24,63.0
28,95.0
19,43.0
32,89.0
23,49.0
29,73.0
30,83.0
34,110.0
21,67.0
24,82.0
28,93.0
30,96.0
35,82.0
30,93.0
24,76.0
26,69.0
25,56.0
28,68.0
29,83.0
68,213.0
24,68.0
32,104.0
19,57.0
19,52.0
31,60.0
26,48.0
11,23.0
18,35.0
26,66.0
31,82.0
23,83.0
37,115.0
34,78.0
28,108.0
24,60.0
23,61.0
21,54.0
21,47.0
25,67.0
20,64.0
28,93.0
24,82.0
20,59.0
22,47.0
26,83.0
25,78.0
25,85.0
20,58.0
22,62.0
22,62.0
17,33.0
26,49.0
15,25.0
27,37.0
37,66.0
31,44.0
22,36.0
29,56.0
28,46.0
22,41.0
34,77.0
51,112.0
26,65.0
34,91.0
30,92.0
25,67.0
26,66.0
31,84.0
37,109.0
26,56.0
26,68.0
32,100.0
40,122.0
30,94.0
32,84.0
39,83.0
40,86.0
26,58.0
39,92.0
39,73.0
37,60.0
43,89.0
38,88.0
39,96.0
31,74.0
40,96.0
50,134.0
39,87.0
36,82.0
37,110.0
33,100.0
36,97.0
53,157.0
50,178.0
32,61.0
35,68.0
29,55.0
28,64.0
29,68.0
19,30.0
39,54.0
57,83.0
46,91.0
51,99.0
51,83.0
69,129.0
38,72.0
25,38.0
38,69.0
43,89.0
44,92.0
39,107.0
48,129.0
37,94.0
34,66.0
39,69.0
50,111.0
54,131.0
26,86.0
41,114.0
52,129.0
56,137.0
65,151.0
57,143.0
59,192.0
68,184.0
73,158.0
55,132.0
50,119.0
62,153.0
45,165.0
41,134.0
61,143.0
39,100.0
38,97.0
47,116.0
61,147.0
82,176.0
59,121.0
44,108.0
37,98.0
45,124.0
39,97.0
39,103.0
49,128.0
66,159.0
70,164.0
82,183.0
81,168.0
55,133.0
52,138.0
47,123.0
75,167.0
91,190.0
79,152.0
41,93.0
40,101.0
56,120.0
41,92.0
43,100.0
57,139.0
59,144.0
82,175.0
75,163.0
88,175.0
50,124.0
34,85.0
30,66.0
64,131.0
60,121.0
73,142.0
91,185.0
91,214.5
91,197.0
50,141.0
63,178.0
76,167.0
88,177.0
91,208.0
91,214.5
91,214.5
91,214.5
91,214.5
91,214.5
37,125.0
65,115.0
91,130.0
82,112.0
67,95.0
38,87.0
50,114.0
73,142.0
79,151.0
85,151.0
91,172.0
91,187.0
82,173.0
73,144.0
67,165.0
42,169.0
60,146.0
79,170.0
61,128.0
49,119.0
53,135.0
57,136.0
